"ID","TIME","RPM","TORQUE","POWER","PEAK_PEAK_PFS"
"215784","2023-12-02 07:57:34","0","0","0","0"
"221080","2023-12-03 04:59:12","0","0","0","0"
"221078","2023-12-03 04:58:42","0","0","0","0"
"220994","2023-12-03 04:37:42","0","0","0","0"
"220992","2023-12-03 04:37:12","0","0","0","0"
"220950","2023-12-03 04:26:42","0","0","0","0"
"220989","2023-12-03 04:36:27","0","0","0","0"
"220988","2023-12-03 04:36:12","0","0","0","0"
"220947","2023-12-03 04:25:57","0","0","0","0"
"220946","2023-12-03 04:25:42","0","0","0","0"
"220945","2023-12-03 04:25:27","0","0","0","0"
"220944","2023-12-03 04:25:12","0","0","0","0"
"220983","2023-12-03 04:34:57","0","0","0","0"
"221022","2023-12-03 04:44:42","0","0","0","0"
"221141","2023-12-03 05:14:27","0","0","0","0"
"221181","2023-12-03 05:24:27","0","0","0","0"
"221060","2023-12-03 04:54:12","0","0","0","0"
"221059","2023-12-03 04:53:57","0","0","0","0"
"221058","2023-12-03 04:53:42","0","0","0","0"
"221057","2023-12-03 04:53:27","0","0","0","0"
"221017","2023-12-03 04:43:27","0","0","0","0"
"221016","2023-12-03 04:43:12","0","0","0","0"
"220975","2023-12-03 04:32:57","0","0","0","0"
"220974","2023-12-03 04:32:42","0","0","0","0"
"220973","2023-12-03 04:32:27","0","0","0","0"
"220972","2023-12-03 04:32:12","0","0","0","0"
"220971","2023-12-03 04:31:57","0","0","0","0"
"220841","2023-12-03 04:08:27","0","0","0","0"
"220969","2023-12-03 04:31:27","0","0","0","0"
"220968","2023-12-03 04:31:12","0","0","0","0"
"220838","2023-12-03 04:07:42","0","0","0","0"
"220837","2023-12-03 04:07:27","0","0","0","0"
"220836","2023-12-03 04:07:12","0","0","0","0"
"220835","2023-12-03 04:06:57","0","0","0","0"
"220963","2023-12-03 04:29:57","0","0","0","0"
"221002","2023-12-03 04:39:42","0","0","0","0"
"221039","2023-12-03 04:48:57","0","0","0","0"
"221038","2023-12-03 04:48:42","0","0","0","0"
"221037","2023-12-03 04:48:27","0","0","0","0"
"221036","2023-12-03 04:48:12","0","0","0","0"
"220996","2023-12-03 04:38:12","0","0","0","0"
"220955","2023-12-03 04:27:57","0","0","0","0"
"220954","2023-12-03 04:27:42","0","0","0","0"
"220953","2023-12-03 04:27:27","0","0","0","0"
"220952","2023-12-03 04:27:12","0","0","0","0"
"220951","2023-12-03 04:26:57","0","0","0","0"
"220776","2023-12-03 04:16:13","0","0","0","0"
"220949","2023-12-03 04:26:27","0","0","0","0"
"220773","2023-12-03 04:15:28","0","0","0","0"
"220772","2023-12-03 04:15:13","0","0","0","0"
"220771","2023-12-03 04:14:58","0","0","0","0"
"220770","2023-12-03 04:14:43","0","0","0","0"
"220943","2023-12-03 04:24:57","0","0","0","0"
"220982","2023-12-03 04:34:42","0","0","0","0"
"221041","2023-12-03 04:49:27","0","0","0","0"
"221021","2023-12-03 04:44:27","0","0","0","0"
"221020","2023-12-03 04:44:12","0","0","0","0"
"221019","2023-12-03 04:43:57","0","0","0","0"
"221018","2023-12-03 04:43:42","0","0","0","0"
"220976","2023-12-03 04:33:12","0","0","0","0"
"220846","2023-12-03 04:09:42","0","0","0","0"
"220845","2023-12-03 04:09:27","0","0","0","0"
"220844","2023-12-03 04:09:12","0","0","0","0"
"220843","2023-12-03 04:08:57","0","0","0","0"
"220842","2023-12-03 04:08:42","0","0","0","0"
"220756","2023-12-03 04:11:13","0","0","0","0"
"220753","2023-12-03 04:10:28","0","0","0","0"
"220752","2023-12-03 04:10:13","0","0","0","0"
"220751","2023-12-03 04:09:58","0","0","0","0"
"220750","2023-12-03 04:09:43","0","0","0","0"
"220834","2023-12-03 04:19:55","0","0","0","0"
"220962","2023-12-03 04:29:42","0","0","0","0"
"221061","2023-12-03 04:54:27","0","0","0","0"
"221000","2023-12-03 04:39:12","0","0","0","0"
"220999","2023-12-03 04:38:57","0","0","0","0"
"220998","2023-12-03 04:38:42","0","0","0","0"
"220997","2023-12-03 04:38:27","0","0","0","0"
"220957","2023-12-03 04:28:27","0","0","0","0"
"220956","2023-12-03 04:28:12","0","0","0","0"
"220781","2023-12-03 04:17:28","0","0","0","0"
"220780","2023-12-03 04:17:13","0","0","0","0"
"220779","2023-12-03 04:16:58","0","0","0","0"
"220778","2023-12-03 04:16:43","0","0","0","0"
"220777","2023-12-03 04:16:28","0","0","0","0"
"220736","2023-12-03 04:06:13","0","0","0","0"
"220775","2023-12-03 04:15:58","0","0","0","0"
"220774","2023-12-03 04:15:43","0","0","0","0"
"220733","2023-12-03 04:05:28","0","0","0","0"
"220732","2023-12-03 04:05:13","0","0","0","0"
"220731","2023-12-03 04:04:58","0","0","0","0"
"220730","2023-12-03 04:04:43","0","0","0","0"
"220814","2023-12-03 04:14:55","0","0","0","0"
"220853","2023-12-03 04:11:27","0","0","0","0"
"220980","2023-12-03 04:34:12","0","0","0","0"
"220979","2023-12-03 04:33:57","0","0","0","0"
"220978","2023-12-03 04:33:42","0","0","0","0"
"220977","2023-12-03 04:33:27","0","0","0","0"
"220849","2023-12-03 04:10:27","0","0","0","0"
"220848","2023-12-03 04:10:12","0","0","0","0"
"220847","2023-12-03 04:09:57","0","0","0","0"
"220761","2023-12-03 04:12:28","0","0","0","0"
"220760","2023-12-03 04:12:13","0","0","0","0"
"220759","2023-12-03 04:11:58","0","0","0","0"
