"ID","TIME","RPM","TORQUE","POWER","PEAK_PEAK_PFS"
"127","2023-10-26 11:35:55","0","0","0","0"
"128","2023-10-26 11:40:55","0","0","0","0"
"129","2023-10-26 11:45:55","0","0","0","0"
"130","2023-10-26 11:50:55","0","0","0","0"
"131","2023-10-26 11:55:55","0","0","0","0"
"132","2023-10-26 12:00:55","0","0","0","0"
"133","2023-10-26 12:05:55","0","0","0","0"
"134","2023-10-26 12:10:55","0","0","0","0"
"135","2023-10-26 12:15:55","0","0","0","0"
"136","2023-10-26 12:20:55","0","0","0","0"
"137","2023-10-26 12:25:55","0","0","0","0"
"138","2023-10-26 12:30:55","0","0","0","0"
"139","2023-10-26 12:35:55","0","0","0","0"
"140","2023-10-26 12:40:55","0","0","0","0"
"141","2023-10-26 12:45:55","0","0","0","0"
"142","2023-10-26 12:50:55","0","0","0","0"
"143","2023-10-26 12:55:55","0","0","0","0"
"144","2023-10-26 13:00:55","0","0","0","0"
"145","2023-10-26 13:05:55","0","0","0","0"
"146","2023-10-26 13:10:55","0","0","0","0"
"147","2023-10-26 13:15:55","0","0","0","0"
"148","2023-10-26 13:20:55","0","0","0","0"
"149","2023-10-26 13:25:55","0","0","0","0"
"150","2023-10-26 13:30:55","0","0","0","0"
"151","2023-10-26 13:35:55","0","0","0","0"
"152","2023-10-26 13:40:55","0","0","0","0"
"153","2023-10-26 13:45:55","0","0","0","0"
"154","2023-10-26 13:50:55","0","0","0","0"
"155","2023-10-26 13:55:55","0","0","0","0"
"156","2023-10-26 14:00:55","0","0","0","0"
"157","2023-10-26 14:05:55","0","0","0","0"
"158","2023-10-26 14:10:55","0","0","0","0"
"159","2023-10-26 14:15:55","0","0","0","0"
"160","2023-10-26 14:20:55","0","0","0","0"
"161","2023-10-26 14:25:55","0","0","0","0"
"162","2023-10-26 14:30:55","0","0","0","0"
"163","2023-10-26 14:35:55","0","0","0","0"
"164","2023-10-26 14:40:55","0","0","0","0"
"165","2023-10-26 14:45:55","0","0","0","0"
"166","2023-10-26 14:50:55","0","0","0","0"
"167","2023-10-26 14:55:55","0","0","0","0"
"168","2023-10-26 15:00:55","0","0","0","0"
"169","2023-10-26 15:05:55","0","0","0","0"
"170","2023-10-26 15:10:55","0","0","0","0"
"171","2023-10-26 15:15:55","0","0","0","0"
"172","2023-10-26 15:20:55","0","0","0","0"
"173","2023-10-26 15:25:55","0","0","0","0"
"174","2023-10-26 15:30:55","0","0","0","0"
"175","2023-10-26 15:35:55","0","0","0","0"
"176","2023-10-26 15:40:55","0","0","0","0"
"177","2023-10-26 15:45:55","0","0","0","0"
"178","2023-10-26 15:50:55","0","0","0","0"
"179","2023-10-26 15:55:55","0","0","0","0"
"180","2023-10-26 16:00:55","0","0","0","0"
"181","2023-10-26 16:05:55","0","0","0","0"
"182","2023-10-26 16:10:55","0","0","0","0"
"183","2023-10-26 16:15:55","0","0","0","0"
"184","2023-10-26 16:20:55","0","0","0","0"
"185","2023-10-26 16:25:55","0","0","0","0"
"186","2023-10-26 16:30:55","0","0","0","0"
"187","2023-10-26 16:35:55","0","0","0","0"
