"ID","TIME","PEAK_PEAK_PFS","PEAK_PEAK_KNM","MAIN_FREQ","SECOND_FREQ","TORQUE_HIGH","TORQUE_LOW","RPM_HIGH","RPM_LOW"
"1","2018-08-27 10:42:44","0","0","0","0","0","0","0","0"
"2","2018-08-27 10:47:44","0","0","0","0","0","0","0","0"
"3","2018-08-27 10:42:43","0","0","0","0","0","0","0","0"
"4","2018-08-27 10:47:43","0","0","0","0","0","0","0","0"
"5","2018-08-27 10:52:43","0","0","0","0","0","0","0","0"
"6","2018-08-27 10:57:43","0","0","0","0","0","0","0","0"
"7","2018-08-27 11:02:43","0","0","0","0","0","0","0","0"
"8","2018-08-27 11:07:43","0","0","0","0","0","0","0","0"
"9","2018-08-27 11:12:43","0","0","0","0","0","0","0","0"
"10","2018-08-27 11:17:43","0","0","0","0","0","0","0","0"
"11","2018-08-27 11:22:43","0","0","0","0","0","0","0","0"
"12","2018-08-27 11:27:43","0","0","0","0","0","0","0","0"
"13","2023-10-26 01:49:39","0","0","0","0","0","0","0","0"
"14","2023-10-26 01:54:39","0","0","0","0","0","0","0","0"
"15","2023-10-26 01:59:49","0","0","0","0","0","0","0","0"
"16","2023-10-26 02:04:49","0","0","0","0","0","0","0","0"
"17","2023-10-26 02:09:49","0","0","0","0","0","0","0","0"
"18","2023-10-26 02:22:48","0","0","0","0","0","0","0","0"
"19","2023-10-26 02:27:48","0","0","0","0","0","0","0","0"
"20","2023-10-26 02:32:48","0","0","0","0","0","0","0","0"
"21","2023-10-26 02:37:48","0","0","0","0","0","0","0","0"
"22","2023-10-26 02:42:48","0","0","0","0","0","0","0","0"
"23","2023-10-26 02:47:48","0","0","0","0","0","0","0","0"
"24","2023-10-26 02:52:48","0","0","0","0","0","0","0","0"
"25","2023-10-26 02:57:48","0","0","0","0","0","0","0","0"
"26","2023-10-26 03:02:48","0","0","0","0","0","0","0","0"
"27","2023-10-26 03:07:48","0","0","0","0","0","0","0","0"
"28","2023-10-26 03:12:48","0","0","0","0","0","0","0","0"
"29","2023-10-26 03:17:48","0","0","0","0","0","0","0","0"
"30","2023-10-26 03:22:48","0","0","0","0","0","0","0","0"
"31","2023-10-26 03:27:48","0","0","0","0","0","0","0","0"
"32","2023-10-26 03:32:48","0","0","0","0","0","0","0","0"
"33","2023-10-26 03:37:48","0","0","0","0","0","0","0","0"
"34","2023-10-26 03:42:48","0","0","0","0","0","0","0","0"
"35","2023-10-26 03:47:48","0","0","0","0","0","0","0","0"
"36","2023-10-26 03:52:48","0","0","0","0","0","0","0","0"
"37","2023-10-26 03:57:48","0","0","0","0","0","0","0","0"
"38","2023-10-26 04:02:48","0","0","0","0","0","0","0","0"
"39","2023-10-26 04:07:48","0","0","0","0","0","0","0","0"
"40","2023-10-26 04:12:48","0","0","0","0","0","0","0","0"
